L1,32,8,400.perlbench,235,0.024
L1,32,8,401.bzip2,18860,1.886
L1,32,8,403.gcc,21639,2.164
L1,32,8,410.bwaves,16065,1.607
L1,32,8,416.gamess,11729,1.173
L1,32,8,429.mcf,107254,10.725
L1,32,8,433.milc,22083,2.208
L1,32,8,435.gromacs,4248,0.425
L1,32,8,436.cactusADM,4344,0.434
L1,32,8,437.leslie3d,3968,0.397
L1,32,8,444.namd,4368,0.437
L1,32,8,445.gobmk,11407,1.141
L1,32,8,450.soplex,67734,6.773
L1,32,8,453.povray,25001,2.500
L1,32,8,454.calculix,420,0.042
L1,32,8,456.hmmer,4097,0.410
L1,32,8,458.sjeng,6924,0.692
L1,32,8,459.GemsFDTD,17978,1.798
L1,32,8,462.libquantum,17649,1.765
L1,32,8,464.h264ref,555,0.056
L1,32,8,465.tonto,28139,2.814
L1,32,8,470.lbm,35867,3.587
L1,32,8,471.omnetpp,27971,2.797
L1,32,8,473.astar,4449,0.445
L1,32,8,481.wrf,3834,0.383
L1,32,8,482.sphinx3,11943,1.194
L1,32,8,483.xalancbmk,20642,2.064
L1+L2,64,8,400.perlbench,235,0.024,234,99.574
L1+L2,64,8,401.bzip2,18860,1.886,15408,81.697
L1+L2,64,8,403.gcc,21639,2.164,21412,98.951
L1+L2,64,8,410.bwaves,16065,1.607,12356,76.913
L1+L2,64,8,416.gamess,11729,1.173,3004,25.612
L1+L2,64,8,429.mcf,107254,10.725,100575,93.773
L1+L2,64,8,433.milc,22083,2.208,22083,100.000
L1+L2,64,8,435.gromacs,4248,0.425,3677,86.558
L1+L2,64,8,436.cactusADM,4344,0.434,3517,80.962
L1+L2,64,8,437.leslie3d,3968,0.397,3968,100.000
L1+L2,64,8,444.namd,4368,0.437,1110,25.412
L1+L2,64,8,445.gobmk,11407,1.141,3044,26.685
L1+L2,64,8,450.soplex,67734,6.773,61865,91.335
L1+L2,64,8,453.povray,25001,2.500,12415,49.658
L1+L2,64,8,454.calculix,420,0.042,418,99.524
L1+L2,64,8,456.hmmer,4097,0.410,3370,82.255
L1+L2,64,8,458.sjeng,6924,0.692,1715,24.769
L1+L2,64,8,459.GemsFDTD,17978,1.798,17799,99.004
L1+L2,64,8,462.libquantum,17649,1.765,17649,100.000
L1+L2,64,8,464.h264ref,555,0.056,555,100.000
L1+L2,64,8,465.tonto,28139,2.814,28139,100.000
L1+L2,64,8,470.lbm,35867,3.587,35867,100.000
L1+L2,64,8,471.omnetpp,27971,2.797,18233,65.185
L1+L2,64,8,473.astar,4449,0.445,3722,83.659
L1+L2,64,8,481.wrf,3834,0.383,2888,75.326
L1+L2,64,8,482.sphinx3,11943,1.194,11358,95.102
L1+L2,64,8,483.xalancbmk,20642,2.064,20639,99.985
L1+L2,64,16,400.perlbench,235,0.024,234,99.574
L1+L2,64,16,401.bzip2,18860,1.886,16100,85.366
L1+L2,64,16,403.gcc,21639,2.164,21408,98.932
