Trace file,Capacity,Assoc,Block size,Policy,Total Misses,Miss Rate
433.milc-127B.trace.txt.gz,32kB,8,64B,r,22350,2.235,22350,2.235
410.bwaves-1963B.trace.txt.gz,8kB,8,64B,l,54928,5.493,54928,5.493
410.bwaves-1963B.trace.txt.gz,16kB,8,64B,l,25357,2.536,25357,2.536
410.bwaves-1963B.trace.txt.gz,32kB,8,64B,l,16065,1.607,16065,1.607
410.bwaves-1963B.trace.txt.gz,64kB,8,64B,l,13260,1.326,13260,1.326
410.bwaves-1963B.trace.txt.gz,128kB,8,64B,l,11697,1.170,11697,1.170
410.bwaves-1963B.trace.txt.gz,32kB,1,64B,l,87220,8.722,87220,8.722
410.bwaves-1963B.trace.txt.gz,32kB,2,64B,l,84326,8.433,84326,8.433
410.bwaves-1963B.trace.txt.gz,32kB,4,64B,l,85452,8.545,85452,8.545
410.bwaves-1963B.trace.txt.gz,32kB,8,64B,l,16065,1.607,16065,1.607
410.bwaves-1963B.trace.txt.gz,32kB,16,64B,l,12023,1.202,12023,1.202
410.bwaves-1963B.trace.txt.gz,32kB,8,16B,l,50241,5.024,50241,5.024
410.bwaves-1963B.trace.txt.gz,32kB,8,32B,l,27735,2.773,27735,2.773
410.bwaves-1963B.trace.txt.gz,32kB,8,64B,l,16065,1.607,16065,1.607
410.bwaves-1963B.trace.txt.gz,32kB,8,128B,l,11265,1.127,11265,1.127
410.bwaves-1963B.trace.txt.gz,32kB,8,64B,l,16065,1.607,16065,1.607
410.bwaves-1963B.trace.txt.gz,32kB,8,64B,r,26088,2.609,26088,2.609
456.hmmer-191B.trace.txt.gz,8kB,8,64B,l,11317,1.132,11317,1.132
456.hmmer-191B.trace.txt.gz,16kB,8,64B,l,9333,0.933,9333,0.933
456.hmmer-191B.trace.txt.gz,32kB,8,64B,l,4097,0.410,4097,0.410
456.hmmer-191B.trace.txt.gz,64kB,8,64B,l,3343,0.334,3343,0.334
456.hmmer-191B.trace.txt.gz,128kB,8,64B,l,2960,0.296,2960,0.296
